fpr,tpr
0.0,0.0
0.0,0.06521739130434782
0.0,0.13043478260869565
0.030434782608695653,0.13043478260869565
0.030434782608695653,0.2608695652173913
0.05217391304347826,0.2608695652173913
0.06086956521739131,0.2608695652173913
0.06086956521739131,0.2826086956521739
0.06086956521739131,0.32608695652173914
0.06086956521739131,0.3695652173913043
0.06956521739130435,0.3695652173913043
0.06956521739130435,0.391304347826087
0.0782608695652174,0.391304347826087
0.0782608695652174,0.43478260869565216
0.08260869565217391,0.43478260869565216
0.08260869565217391,0.4782608695652174
0.08260869565217391,0.5652173913043478
0.08260869565217391,0.6086956521739131
0.08260869565217391,0.6304347826086957
0.12173913043478261,0.6304347826086957
0.12173913043478261,0.717391304347826
0.12173913043478261,0.7391304347826086
0.15217391304347827,0.7391304347826086
0.15217391304347827,0.8043478260869565
0.1608695652173913,0.8043478260869565
0.1608695652173913,0.8478260869565217
0.1956521739130435,0.8478260869565217
0.1956521739130435,0.9782608695652174
0.1956521739130435,1.0
0.21304347826086956,1.0
0.2391304347826087,1.0
0.24782608695652175,1.0
0.4434782608695652,1.0
0.45217391304347826,1.0
0.4652173913043478,1.0
0.4826086956521739,1.0
0.5,1.0
0.508695652173913,1.0
0.5695652173913044,1.0
0.5782608695652174,1.0
0.8043478260869565,1.0
0.8130434782608695,1.0
0.8173913043478261,1.0
0.8260869565217391,1.0
0.8695652173913043,1.0
0.8782608695652174,1.0
0.9391304347826087,1.0
0.9478260869565217,1.0
0.9695652173913043,1.0
1.0,1.0
