precision,recall
0.16666666666666666,1.0
0.17100371747211895,1.0
0.17424242424242425,1.0
0.17557251908396945,1.0
0.17624521072796934,1.0
0.17692307692307693,1.0
0.1776061776061776,1.0
0.17829457364341086,1.0
0.17898832684824903,1.0
0.1796875,1.0
0.1803921568627451,1.0
0.18110236220472442,1.0
0.18181818181818182,1.0
0.18253968253968253,1.0
0.18326693227091634,1.0
0.184,1.0
0.18473895582329317,1.0
0.18548387096774194,1.0
0.18699186991869918,1.0
0.18775510204081633,1.0
0.1885245901639344,1.0
0.18930041152263374,1.0
0.19008264462809918,1.0
0.1908713692946058,1.0
0.19166666666666668,1.0
0.19246861924686193,1.0
0.19327731092436976,1.0
0.1940928270042194,1.0
0.19491525423728814,1.0
0.19658119658119658,1.0
0.19742489270386265,1.0
0.19913419913419914,1.0
0.2,1.0
0.20087336244541484,1.0
0.20175438596491227,1.0
0.2026431718061674,1.0
0.20353982300884957,1.0
0.20444444444444446,1.0
0.20535714285714285,1.0
0.2062780269058296,1.0
0.2072072072072072,1.0
0.2081447963800905,1.0
0.20909090909090908,1.0
0.2100456621004566,1.0
0.21100917431192662,1.0
0.2119815668202765,1.0
0.21296296296296297,1.0
0.21395348837209302,1.0
0.21495327102803738,1.0
0.215962441314554,1.0
0.2169811320754717,1.0
0.21800947867298578,1.0
0.21904761904761905,1.0
0.22009569377990432,1.0
0.22115384615384615,1.0
0.2222222222222222,1.0
0.22330097087378642,1.0
0.22439024390243903,1.0
0.22549019607843138,1.0
0.22660098522167488,1.0
0.22772277227722773,1.0
0.22885572139303484,1.0
0.23,1.0
0.23115577889447236,1.0
0.23232323232323232,1.0
0.233502538071066,1.0
0.23469387755102042,1.0
0.2358974358974359,1.0
0.23711340206185566,1.0
0.23834196891191708,1.0
0.23958333333333334,1.0
0.24083769633507854,1.0
0.24210526315789474,1.0
0.24338624338624337,1.0
0.24468085106382978,1.0
0.24598930481283424,1.0
0.24731182795698925,1.0
0.24864864864864866,1.0
0.25,1.0
0.25136612021857924,1.0
0.25274725274725274,1.0
0.2541436464088398,1.0
0.25555555555555554,1.0
0.2569832402234637,1.0
0.2598870056497175,1.0
0.26136363636363635,1.0
0.26285714285714284,1.0
0.26436781609195403,1.0
0.2658959537572254,1.0
0.26744186046511625,1.0
0.26900584795321636,1.0
0.27058823529411763,1.0
0.27218934911242604,1.0
0.27380952380952384,1.0
0.2754491017964072,1.0
0.27710843373493976,1.0
0.2787878787878788,1.0
0.2804878048780488,1.0
0.2822085889570552,1.0
0.2857142857142857,1.0
0.2875,1.0
0.2893081761006289,1.0
0.2911392405063291,1.0
0.2929936305732484,1.0
0.2967741935483871,1.0
0.3006535947712418,1.0
0.3026315789473684,1.0
0.304635761589404,1.0
0.30666666666666664,1.0
0.3108108108108108,1.0
0.3129251700680272,1.0
0.3150684931506849,1.0
0.31724137931034485,1.0
0.3194444444444444,1.0
0.32167832167832167,1.0
0.323943661971831,1.0
0.3262411347517731,1.0
0.32857142857142857,1.0
0.33093525179856115,1.0
0.3333333333333333,1.0
0.3357664233576642,1.0
0.3382352941176471,1.0
0.34074074074074073,1.0
0.34328358208955223,1.0
0.3458646616541353,1.0
0.3484848484848485,1.0
0.3511450381679389,1.0
0.35384615384615387,1.0
0.35658914728682173,1.0
0.359375,1.0
0.36220472440944884,1.0
0.36507936507936506,1.0
0.368,1.0
0.3709677419354839,1.0
0.37398373983739835,1.0
0.3770491803278688,1.0
0.38016528925619836,1.0
0.38333333333333336,1.0
0.3865546218487395,1.0
0.3898305084745763,1.0
0.39316239316239315,1.0
0.39655172413793105,1.0
0.4,1.0
0.40350877192982454,1.0
0.40707964601769914,1.0
0.4107142857142857,1.0
0.4144144144144144,1.0
0.41818181818181815,1.0
0.42201834862385323,1.0
0.42592592592592593,1.0
0.42990654205607476,1.0
0.4339622641509434,1.0
0.4380952380952381,1.0
0.4423076923076923,1.0
0.44660194174757284,1.0
0.45544554455445546,1.0
0.46,1.0
0.46464646464646464,1.0
0.46938775510204084,1.0
0.4742268041237113,1.0
0.4791666666666667,1.0
0.4842105263157895,1.0
0.4946236559139785,1.0
0.5054945054945055,1.0
0.5,0.9782608695652174
