fpr,tpr
0.0,0.0
0.00011238059561715677,0.0005618328235220676
0.00016857089342573516,0.001342156189524939
0.00024973465692701506,0.0023097571633685
0.00027470812261971654,0.002965228790810912
0.0002871948554660673,0.0038391909607341282
0.00030592495473559343,0.004650727261377115
0.00031216832115876883,0.005462263562020101
0.0003184116875819442,0.006398651601223547
0.0003246550540051196,0.007054123228665959
0.0003246550540051196,0.007522317248267682
0.00034338515327464567,0.007740807790748486
0.0003683586189673472,0.008052937137149635
0.00037460198539052256,0.00820900181035021
0.00040581881750639945,0.008333853548910669
0.00041206218392957484,0.008708408764592047
0.00043703564962227633,0.009582370934515264
0.0004557657488918025,0.009956926150196641
0.0004682524817381532,0.010237842561957675
0.00048698258100767937,0.010862101254759973
0.0004994693138540301,0.011299082339721581
0.0005244427795467316,0.011455147012922155
0.0005244427795467316,0.011767276359323304
0.0005369295123930824,0.011829702228603533
0.0005431728788162577,0.012016979836444222
0.0005431728788162577,0.012235470378925027
0.0005494162452394331,0.01232910918284537
0.0005619029780857839,0.012485173856045945
0.00058063307735531,0.012547599725326175
0.00058063307735531,0.013015793744927898
0.0005931198102016608,0.01367126537237031
0.0005931198102016608,0.013764904176290655
0.0005993631766248361,0.01392096884949123
0.0006056065430480115,0.014514014607653412
0.0006056065430480115,0.014732505150134216
0.0006056065430480115,0.01501342156189525
0.000630580008740713,0.015231912104376053
0.000630580008740713,0.015387976777576627
0.0006368233751638884,0.015512828516137087
0.0006555534744334144,0.01566889318933766
0.0006617968408565898,0.015887383731818465
0.0006680402072797652,0.016199513078219614
0.0006742835737029406,0.01688619764030214
0.0006930136729724667,0.01757288220238467
0.0007179871386651682,0.017916224483425933
0.0007242305050883436,0.018072289156626505
0.0007367172379346944,0.018571696110868344
0.0007429606043578697,0.018727760784068917
0.0007429606043578697,0.018883825457269493
0.0007492039707810451,0.019133528934390413
0.0007554473372042205,0.0193208065422311
0.0007554473372042205,0.01944565828079156
0.0007554473372042205,0.01950808415007179
0.0007866641693200974,0.01963293588863225
0.0007991509021664482,0.020007491104313626
0.0008053942685896235,0.020038704038953744
0.000830367734282325,0.020163555777514202
0.0008428544671286758,0.02041325925463512
0.0008678279328213773,0.02053811099319558
0.0008740712992445527,0.02053811099319558
0.0008740712992445527,0.020631749797115923
0.0008803146656677281,0.020756601535676385
0.0008803146656677281,0.020912666208876957
0.0008865580320909035,0.02119358262063799
0.0008928013985140788,0.021380860228478682
0.0009052881313604296,0.0216305637055996
0.0009177748642067802,0.02175541544416006
0.0009240182306299556,0.022129970659841437
0.0009365049634763064,0.022317248267682128
0.0009365049634763064,0.02241088707160247
0.0009489916963226571,0.0224733129408827
0.0009614784291690079,0.02272301641800362
0.0009739651620153587,0.02272301641800362
0.0009739651620153587,0.02303514576440477
0.0009864518948617094,0.023191210437605345
0.0009989386277080602,0.023409700980086146
0.0010051819941312356,0.023753043261127413
0.0010176687269775864,0.0239403208689681
0.0010176687269775864,0.024033959672888443
0.001030155459823937,0.02406517260752856
0.001030155459823937,0.024408514888569825
0.0010426421926702878,0.02465821836569074
0.0010426421926702878,0.024814283038891317
0.0010488855590934632,0.024876708908171546
0.0010863457576325154,0.024876708908171546
0.0010988324904788662,0.02497034771209189
0.001111319223325217,0.025126412385292465
0.0011175625897483924,0.025251264123852923
0.0011300493225947432,0.025438541731693614
0.0011425360554410938,0.025719458143454648
0.0011425360554410938,0.025750671078094763
0.00116126615471062,0.025844309882015106
0.0011675095211337954,0.025969161620575568
0.0011737528875569708,0.026031587489855797
0.0011862396204033216,0.02612522629377614
0.0011862396204033216,0.026343716836256945
0.001192482986826497,0.026468568574817403
0.001192482986826497,0.026530994444097632
0.0011987263532496721,0.02668705911729821
0.0012049697196728475,0.02668705911729821
0.0012049697196728475,0.026749484986578437
0.0012174564525191983,0.0268743367251389
0.0012236998189423737,0.027124040202259815
0.0012299431853655491,0.027311317810100506
0.0012424299182119,0.02740495661402085
